"FREQ","C3(2)"
10,25.6896
10.23292992,25.8802
10.47128548,26.0704
10.71519305,26.2602
10.96478196,26.4495
11.22018454,26.6383
11.48153621,26.8267
11.74897555,27.0145
12.02264435,27.2018
12.30268771,27.3885
12.58925412,27.5746
12.88249552,27.7602
13.18256739,27.9451
13.48962883,28.1293
13.80384265,28.3129
14.12537545,28.4958
14.45439771,28.6779
14.79108388,28.8593
15.13561248,29.0398
15.48816619,29.2196
15.84893192,29.3985
16.21810097,29.5765
16.59586907,29.7536
16.98243652,29.9297
17.37800829,30.1049
17.7827941,30.279
18.19700859,30.4521
18.62087137,30.6241
19.05460718,30.7949
19.498446,30.9646
19.95262315,31.1331
20.41737945,31.3004
20.89296131,31.4664
21.3796209,31.631
21.87761624,31.7943
22.38721139,31.9562
22.90867653,32.1166
23.44228815,32.2756
23.98832919,32.4331
24.54708916,32.5889
25.11886432,32.7432
25.70395783,32.8959
26.30267992,33.0468
26.91534804,33.196
27.54228703,33.3435
28.18382931,33.4892
28.84031503,33.633
29.51209227,33.7749
30.1995172,33.9149
30.90295433,34.053
31.6227766,34.1891
32.35936569,34.3232
33.11311215,34.4552
33.88441561,34.5851
34.67368505,34.7129
35.48133892,34.8386
36.30780548,34.9621
37.15352291,35.0835
38.01893963,35.2026
38.9045145,35.3195
39.81071706,35.4342
40.73802778,35.5466
41.68693835,35.6567
42.65795188,35.7645
43.65158322,35.8701
44.66835922,35.9733
45.70881896,36.0743
46.77351413,36.1729
47.86300923,36.2692
48.97788194,36.3633
50.11872336,36.455
51.2861384,36.5445
52.48074602,36.6317
53.70317964,36.7167
54.95408739,36.7994
56.23413252,36.8798
57.54399373,36.9581
58.88436554,37.0342
60.25595861,37.1081
61.65950019,37.1799
63.09573445,37.2496
64.5654229,37.3173
66.0693448,37.3828
67.60829754,37.4464
69.18309709,37.508
70.79457844,37.5676
72.44359601,37.6253
74.13102413,37.6812
75.8577575,37.7352
77.62471166,37.7874
79.43282347,37.8379
81.28305162,37.8866
83.17637711,37.9337
85.11380382,37.9791
87.096359,38.023
89.12509381,38.0653
91.20108394,38.106
93.32543008,38.1453
95.4992586,38.1832
97.7237221,38.2196
100,38.2547
102.3292992,38.2885
104.7128548,38.3211
107.1519305,38.3524
109.6478196,38.3824
112.2018454,38.4114
114.8153621,38.4392
117.4897555,38.4659
120.2264435,38.4916
123.0268771,38.5163
125.8925412,38.54
128.8249552,38.5627
131.8256739,38.5845
134.8962883,38.6055
138.0384265,38.6256
141.2537545,38.6449
144.5439771,38.6634
147.9108388,38.6811
151.3561248,38.6981
154.8816619,38.7144
158.4893192,38.7301
162.1810097,38.745
165.9586907,38.7594
169.8243652,38.7731
173.7800829,38.7863
177.827941,38.7989
181.9700859,38.811
186.2087137,38.8226
190.5460718,38.8337
194.98446,38.8443
199.5262315,38.8544
204.1737945,38.8642
208.9296131,38.8735
213.796209,38.8824
218.7761624,38.8909
223.8721139,38.899
229.0867653,38.9068
234.4228815,38.9143
239.8832919,38.9214
245.4708916,38.9283
251.1886432,38.9348
257.0395783,38.941
263.0267992,38.947
269.1534804,38.9527
275.4228703,38.9582
281.8382931,38.9634
288.4031503,38.9684
295.1209227,38.9732
301.995172,38.9777
309.0295433,38.9821
316.227766,38.9863
323.5936569,38.9902
331.1311215,38.994
338.8441561,38.9977
346.7368505,39.0012
354.8133892,39.0045
363.0780548,39.0077
371.5352291,39.0107
380.1893963,39.0136
389.045145,39.0164
398.1071706,39.019
407.3802778,39.0216
416.8693835,39.024
426.5795188,39.0263
436.5158322,39.0285
446.6835922,39.0306
457.0881896,39.0327
467.7351413,39.0346
478.6300923,39.0364
489.7788194,39.0382
501.1872336,39.0399
512.861384,39.0415
524.8074602,39.043
537.0317964,39.0445
549.5408739,39.0459
562.3413252,39.0472
575.4399373,39.0485
588.8436554,39.0497
602.5595861,39.0509
616.5950019,39.052
630.9573445,39.0531
645.654229,39.0541
660.693448,39.055
676.0829754,39.056
691.8309709,39.0569
707.9457844,39.0577
724.4359601,39.0585
741.3102413,39.0593
758.577575,39.06
776.2471166,39.0607
794.3282347,39.0614
812.8305162,39.062
831.7637711,39.0626
851.1380382,39.0632
870.96359,39.0638
891.2509381,39.0643
912.0108394,39.0648
933.2543008,39.0653
954.992586,39.0658
977.237221,39.0662
1000,39.0667
1023.292992,39.0671
1047.128548,39.0675
1071.519305,39.0678
1096.478196,39.0682
1122.018454,39.0685
1148.153621,39.0688
1174.897555,39.0692
1202.264435,39.0694
1230.268771,39.0697
1258.925412,39.07
1288.249552,39.0703
1318.256739,39.0705
1348.962883,39.0707
1380.384265,39.071
1412.537545,39.0712
1445.439771,39.0714
1479.108388,39.0716
1513.561248,39.0717
1548.816619,39.0719
1584.893192,39.0721
1621.810097,39.0723
1659.586907,39.0724
1698.243652,39.0726
1737.800829,39.0727
1778.27941,39.0728
1819.700859,39.073
1862.087137,39.0731
1905.460718,39.0732
1949.8446,39.0733
1995.262315,39.0734
2041.737945,39.0735
2089.296131,39.0736
2137.96209,39.0737
2187.761624,39.0738
2238.721139,39.0739
2290.867653,39.074
2344.228815,39.074
2398.832919,39.0741
2454.708916,39.0742
2511.886432,39.0743
2570.395783,39.0743
2630.267992,39.0744
2691.534804,39.0744
2754.228703,39.0745
2818.382931,39.0746
2884.031503,39.0746
2951.209227,39.0747
3019.95172,39.0747
3090.295433,39.0747
3162.27766,39.0748
3235.936569,39.0748
3311.311215,39.0749
3388.441561,39.0749
3467.368505,39.0749
3548.133892,39.075
3630.780548,39.075
3715.352291,39.075
3801.893963,39.0751
3890.45145,39.0751
3981.071706,39.0751
4073.802778,39.0751
4168.693835,39.0752
4265.795188,39.0752
4365.158322,39.0752
4466.835922,39.0752
4570.881896,39.0753
4677.351413,39.0753
4786.300923,39.0753
4897.788194,39.0753
5011.872336,39.0753
5128.61384,39.0753
5248.074602,39.0754
5370.317964,39.0754
5495.408739,39.0754
5623.413252,39.0754
5754.399373,39.0754
5888.436554,39.0754
6025.595861,39.0754
6165.950019,39.0755
6309.573445,39.0755
6456.54229,39.0755
6606.93448,39.0755
6760.829754,39.0755
6918.309709,39.0755
7079.457844,39.0755
7244.359601,39.0755
7413.102413,39.0755
7585.77575,39.0755
7762.471166,39.0755
7943.282347,39.0755
8128.305162,39.0756
8317.637711,39.0756
8511.380382,39.0756
8709.6359,39.0756
8912.509381,39.0756
9120.108394,39.0756
9332.543008,39.0756
9549.92586,39.0756
9772.37221,39.0756
10000,39.0756
10232.92992,39.0756
10471.28548,39.0756
10715.19305,39.0756
10964.78196,39.0756
11220.18454,39.0756
11481.53621,39.0756
11748.97555,39.0756
12022.64435,39.0756
12302.68771,39.0756
12589.25412,39.0756
12882.49552,39.0756
13182.56739,39.0756
13489.62883,39.0756
13803.84265,39.0756
14125.37545,39.0756
14454.39771,39.0756
14791.08388,39.0756
15135.61248,39.0757
15488.16619,39.0757
15848.93192,39.0757
16218.10097,39.0757
16595.86907,39.0757
16982.43652,39.0757
17378.00829,39.0757
17782.7941,39.0757
18197.00859,39.0757
18620.87137,39.0757
19054.60718,39.0757
19498.446,39.0757
19952.62315,39.0757
20417.37945,39.0757
20892.96131,39.0757
21379.6209,39.0757
21877.61624,39.0757
22387.21139,39.0757
22908.67653,39.0757
23442.28815,39.0757
23988.32919,39.0757
24547.08916,39.0757
25118.86432,39.0757
25703.95783,39.0757
26302.67992,39.0757
26915.34804,39.0757
27542.28703,39.0757
28183.82931,39.0757
28840.31503,39.0757
29512.09227,39.0757
30199.5172,39.0757
30902.95433,39.0757
31622.7766,39.0757
32359.36569,39.0757
33113.11215,39.0757
33884.41561,39.0757
34673.68505,39.0757
35481.33892,39.0757
36307.80548,39.0757
37153.52291,39.0757
38018.93963,39.0757
38904.5145,39.0757
39810.71706,39.0757
40738.02778,39.0757
41686.93835,39.0757
42657.95188,39.0757
43651.58322,39.0757
44668.35922,39.0757
45708.81896,39.0757
46773.51413,39.0757
47863.00923,39.0757
48977.88194,39.0757
50118.72336,39.0757
51286.1384,39.0757
52480.74602,39.0757
53703.17964,39.0757
54954.08739,39.0757
56234.13252,39.0757
57543.99373,39.0757
58884.36554,39.0757
60255.95861,39.0757
61659.50019,39.0757
63095.73445,39.0757
64565.4229,39.0757
66069.3448,39.0757
67608.29754,39.0757
69183.09709,39.0757
70794.57844,39.0757
72443.59601,39.0757
74131.02413,39.0757
75857.7575,39.0757
77624.71166,39.0756
79432.82347,39.0756
81283.05162,39.0756
83176.37711,39.0756
85113.80382,39.0756
87096.359,39.0756
89125.09381,39.0756
91201.08394,39.0756
93325.43008,39.0756
95499.2586,39.0756
97723.7221,39.0756
100000,39.0756
102329.2992,39.0756
104712.8548,39.0756
107151.9305,39.0756
109647.8196,39.0756
112201.8454,39.0756
114815.3621,39.0756
117489.7555,39.0756
120226.4435,39.0756
123026.8771,39.0756
125892.5412,39.0756
128824.9552,39.0756
131825.6739,39.0756
134896.2883,39.0756
138038.4265,39.0756
141253.7545,39.0756
144543.9771,39.0755
147910.8388,39.0755
151356.1248,39.0755
154881.6619,39.0755
158489.3192,39.0755
