"FREQ","C2(2)"
10,-57.1532
10.23292992,-56.9532
10.47128548,-56.7532
10.71519305,-56.5532
10.96478196,-56.3532
11.22018454,-56.1532
11.48153621,-55.9532
11.74897555,-55.7532
12.02264435,-55.5532
12.30268771,-55.3532
12.58925412,-55.1532
12.88249552,-54.9532
13.18256739,-54.7532
13.48962883,-54.5532
13.80384265,-54.3532
14.12537545,-54.1532
14.45439771,-53.9532
14.79108388,-53.7532
15.13561248,-53.5532
15.48816619,-53.3532
15.84893192,-53.1532
16.21810097,-52.9532
16.59586907,-52.7532
16.98243652,-52.5532
17.37800829,-52.3532
17.7827941,-52.1532
18.19700859,-51.9532
18.62087137,-51.7532
19.05460718,-51.5532
19.498446,-51.3532
19.95262315,-51.1532
20.41737945,-50.9532
20.89296131,-50.7532
21.3796209,-50.5532
21.87761624,-50.3532
22.38721139,-50.1532
22.90867653,-49.9532
23.44228815,-49.7532
23.98832919,-49.5532
24.54708916,-49.3532
25.11886432,-49.1532
25.70395783,-48.9532
26.30267992,-48.7532
26.91534804,-48.5532
27.54228703,-48.3532
28.18382931,-48.1532
28.84031503,-47.9532
29.51209227,-47.7532
30.1995172,-47.5532
30.90295433,-47.3532
31.6227766,-47.1533
32.35936569,-46.9533
33.11311215,-46.7533
33.88441561,-46.5533
34.67368505,-46.3533
35.48133892,-46.1533
36.30780548,-45.9533
37.15352291,-45.7533
38.01893963,-45.5533
38.9045145,-45.3533
39.81071706,-45.1533
40.73802778,-44.9533
41.68693835,-44.7533
42.65795188,-44.5533
43.65158322,-44.3533
44.66835922,-44.1533
45.70881896,-43.9533
46.77351413,-43.7534
47.86300923,-43.5534
48.97788194,-43.3534
50.11872336,-43.1534
51.2861384,-42.9534
52.48074602,-42.7534
53.70317964,-42.5534
54.95408739,-42.3534
56.23413252,-42.1534
57.54399373,-41.9535
58.88436554,-41.7535
60.25595861,-41.5535
61.65950019,-41.3535
63.09573445,-41.1535
64.5654229,-40.9535
66.0693448,-40.7535
67.60829754,-40.5536
69.18309709,-40.3536
70.79457844,-40.1536
72.44359601,-39.9536
74.13102413,-39.7536
75.8577575,-39.5537
77.62471166,-39.3537
79.43282347,-39.1537
81.28305162,-38.9537
83.17637711,-38.7538
85.11380382,-38.5538
87.096359,-38.3538
89.12509381,-38.1538
91.20108394,-37.9539
93.32543008,-37.7539
95.4992586,-37.5539
97.7237221,-37.354
100,-37.154
102.3292992,-36.9541
104.7128548,-36.7541
107.1519305,-36.5541
109.6478196,-36.3542
112.2018454,-36.1542
114.8153621,-35.9543
117.4897555,-35.7543
120.2264435,-35.5544
123.0268771,-35.3545
125.8925412,-35.1545
128.8249552,-34.9546
131.8256739,-34.7547
134.8962883,-34.5547
138.0384265,-34.3548
141.2537545,-34.1549
144.5439771,-33.955
147.9108388,-33.755
151.3561248,-33.5551
154.8816619,-33.3552
158.4893192,-33.1553
162.1810097,-32.9554
165.9586907,-32.7555
169.8243652,-32.5556
173.7800829,-32.3558
177.827941,-32.1559
181.9700859,-31.956
186.2087137,-31.7561
190.5460718,-31.5563
194.98446,-31.3564
199.5262315,-31.1566
204.1737945,-30.9567
208.9296131,-30.7569
213.796209,-30.5571
218.7761624,-30.3573
223.8721139,-30.1575
229.0867653,-29.9577
234.4228815,-29.7579
239.8832919,-29.5581
245.4708916,-29.3583
251.1886432,-29.1586
257.0395783,-28.9588
263.0267992,-28.7591
269.1534804,-28.5594
275.4228703,-28.3597
281.8382931,-28.16
288.4031503,-27.9603
295.1209227,-27.7606
301.995172,-27.561
309.0295433,-27.3613
316.227766,-27.1617
323.5936569,-26.9621
331.1311215,-26.7625
338.8441561,-26.563
