"FREQ","C2(2)"
10,-17.8344
10.23292992,-17.6344
10.47128548,-17.4344
10.71519305,-17.2344
10.96478196,-17.0344
11.22018454,-16.8344
11.48153621,-16.6344
11.74897555,-16.4344
12.02264435,-16.2344
12.30268771,-16.0344
12.58925412,-15.8344
12.88249552,-15.6344
13.18256739,-15.4344
13.48962883,-15.2344
13.80384265,-15.0344
14.12537545,-14.8344
14.45439771,-14.6344
14.79108388,-14.4344
15.13561248,-14.2344
15.48816619,-14.0344
15.84893192,-13.8344
16.21810097,-13.6344
16.59586907,-13.4344
16.98243652,-13.2344
17.37800829,-13.0344
17.7827941,-12.8344
18.19700859,-12.6344
18.62087137,-12.4344
19.05460718,-12.2344
19.498446,-12.0344
19.95262315,-11.8344
20.41737945,-11.6344
20.89296131,-11.4344
21.3796209,-11.2344
21.87761624,-11.0344
22.38721139,-10.8344
22.90867653,-10.6344
23.44228815,-10.4344
23.98832919,-10.2344
24.54708916,-10.0344
25.11886432,-9.83444
25.70395783,-9.63444
26.30267992,-9.43445
26.91534804,-9.23445
27.54228703,-9.03445
28.18382931,-8.83445
28.84031503,-8.63446
29.51209227,-8.43446
30.1995172,-8.23446
30.90295433,-8.03447
31.6227766,-7.83447
32.35936569,-7.63448
33.11311215,-7.43448
33.88441561,-7.23449
34.67368505,-7.03449
35.48133892,-6.8345
36.30780548,-6.6345
37.15352291,-6.43451
38.01893963,-6.23451
38.9045145,-6.03452
39.81071706,-5.83452
40.73802778,-5.63453
41.68693835,-5.43454
42.65795188,-5.23455
43.65158322,-5.03455
44.66835922,-4.83456
45.70881896,-4.63457
46.77351413,-4.43458
47.86300923,-4.23459
48.97788194,-4.0346
50.11872336,-3.83461
51.2861384,-3.63462
52.48074602,-3.43463
53.70317964,-3.23464
54.95408739,-3.03465
56.23413252,-2.83466
57.54399373,-2.63468
58.88436554,-2.43469
60.25595861,-2.23471
61.65950019,-2.03472
63.09573445,-1.83474
64.5654229,-1.63475
66.0693448,-1.43477
67.60829754,-1.23479
69.18309709,-1.03481
70.79457844,-0.834828
72.44359601,-0.634849
74.13102413,-0.434871
75.8577575,-0.234894
77.62471166,-0.0349179
79.43282347,0.165057
81.28305162,0.365031
83.17637711,0.565003
85.11380382,0.764974
87.096359,0.964944
89.12509381,1.16491
91.20108394,1.36488
93.32543008,1.56484
95.4992586,1.76481
97.7237221,1.96477
100,2.16473
102.3292992,2.36469
104.7128548,2.56464
107.1519305,2.7646
109.6478196,2.96455
112.2018454,3.1645
114.8153621,3.36445
117.4897555,3.56439
120.2264435,3.76434
123.0268771,3.96428
125.8925412,4.16421
128.8249552,4.36415
131.8256739,4.56408
134.8962883,4.764
138.0384265,4.96393
141.2537545,5.16385
144.5439771,5.36377
147.9108388,5.56368
151.3561248,5.76359
154.8816619,5.96349
158.4893192,6.16339
162.1810097,6.36329
165.9586907,6.56318
169.8243652,6.76306
173.7800829,6.96294
177.827941,7.16282
181.9700859,7.36268
186.2087137,7.56255
190.5460718,7.7624
194.98446,7.96225
199.5262315,8.16209
204.1737945,8.36192
208.9296131,8.56175
213.796209,8.76157
218.7761624,8.96138
223.8721139,9.16118
229.0867653,9.36097
234.4228815,9.56075
239.8832919,9.76052
245.4708916,9.96028
251.1886432,10.16
257.0395783,10.3598
263.0267992,10.5595
269.1534804,10.7592
275.4228703,10.9589
281.8382931,11.1586
288.4031503,11.3583
295.1209227,11.5579
301.995172,11.7575
309.0295433,11.9572
316.227766,12.1568
323.5936569,12.3563
331.1311215,12.5559
338.8441561,12.7555
346.7368505,12.955
354.8133892,13.1545
363.0780548,13.354
371.5352291,13.5534
380.1893963,13.7528
389.045145,13.9522
398.1071706,14.1516
407.3802778,14.3509
416.8693835,14.5502
426.5795188,14.7495
436.5158322,14.9488
446.6835922,15.148
457.0881896,15.3471
467.7351413,15.5463
478.6300923,15.7454
489.7788194,15.9444
501.1872336,16.1434
512.861384,16.3424
524.8074602,16.5413
537.0317964,16.7401
549.5408739,16.9389
562.3413252,17.1377
575.4399373,17.3364
588.8436554,17.535
602.5595861,17.7336
616.5950019,17.9321
630.9573445,18.1305
645.654229,18.3288
660.693448,18.5271
676.0829754,18.7253
691.8309709,18.9234
707.9457844,19.1214
724.4359601,19.3194
741.3102413,19.5172
758.577575,19.7149
776.2471166,19.9126
794.3282347,20.1101
812.8305162,20.3075
831.7637711,20.5048
851.1380382,20.7019
870.96359,20.8989
891.2509381,21.0958
912.0108394,21.2925
933.2543008,21.4891
954.992586,21.6856
977.237221,21.8818
1000,22.0779
1023.292992,22.2738
1047.128548,22.4695
1071.519305,22.6651
1096.478196,22.8604
1122.018454,23.0555
1148.153621,23.2504
1174.897555,23.445
1202.264435,23.6394
1230.268771,23.8336
1258.925412,24.0274
1288.249552,24.221
1318.256739,24.4143
1348.962883,24.6073
1380.384265,24.8
1412.537545,24.9924
1445.439771,25.1844
1479.108388,25.376
1513.561248,25.5673
1548.816619,25.7581
1584.893192,25.9486
1621.810097,26.1386
1659.586907,26.3282
1698.243652,26.5174
1737.800829,26.706
1778.27941,26.8941
1819.700859,27.0817
1862.087137,27.2688
1905.460718,27.4553
1949.8446,27.6412
1995.262315,27.8265
2041.737945,28.0112
2089.296131,28.1952
2137.96209,28.3785
2187.761624,28.561
