"FREQ","C3(2)"
1,-14.3806
1.023292992,-14.1652
1.047128548,-13.9504
1.071519305,-13.736
1.096478196,-13.5222
1.122018454,-13.3089
1.148153621,-13.0961
1.174897555,-12.8837
1.202264435,-12.6718
1.230268771,-12.4604
1.258925412,-12.2494
1.288249552,-12.0389
1.318256739,-11.8287
1.348962883,-11.619
1.380384265,-11.4096
1.412537545,-11.2006
1.445439771,-10.9919
1.479108388,-10.7836
1.513561248,-10.5757
1.548816619,-10.368
1.584893192,-10.1607
1.621810097,-9.95364
1.659586907,-9.7469
1.698243652,-9.54043
1.737800829,-9.33423
1.77827941,-9.12829
1.819700859,-8.92259
1.862087137,-8.71714
1.905460718,-8.51191
1.9498446,-8.3069
1.995262315,-8.10211
2.041737945,-7.89752
2.089296131,-7.69312
2.13796209,-7.48891
2.187761624,-7.28488
2.238721139,-7.08103
2.290867653,-6.87734
2.344228815,-6.67381
2.398832919,-6.47044
2.454708916,-6.26721
2.511886432,-6.06412
2.570395783,-5.86116
2.630267992,-5.65834
2.691534804,-5.45564
2.754228703,-5.25306
2.818382931,-5.05059
2.884031503,-4.84823
2.951209227,-4.64598
3.01995172,-4.44382
3.090295433,-4.24177
3.16227766,-4.0398
3.235936569,-3.83792
3.311311215,-3.63613
3.388441561,-3.43442
3.467368505,-3.23279
3.548133892,-3.03123
3.630780548,-2.82974
3.715352291,-2.62832
3.801893963,-2.42697
3.89045145,-2.22568
3.981071706,-2.02445
4.073802778,-1.82328
4.168693835,-1.62216
4.265795188,-1.4211
4.365158322,-1.22008
4.466835922,-1.01912
4.570881896,-0.818204
4.677351413,-0.617332
4.786300923,-0.416503
4.897788194,-0.215717
5.011872336,-0.01497
5.12861384,0.185738
5.248074602,0.386409
5.370317964,0.587045
5.495408739,0.787646
5.623413252,0.988214
5.754399373,1.18875
5.888436554,1.38926
6.025595861,1.58973
6.165950019,1.79018
6.309573445,1.9906
6.45654229,2.19099
6.60693448,2.39135
6.760829754,2.59169
6.918309709,2.79201
7.079457844,2.9923
7.244359601,3.19257
7.413102413,3.39281
7.58577575,3.59303
7.762471166,3.79324
7.943282347,3.99341
8.128305162,4.19357
8.317637711,4.39371
8.511380382,4.59383
8.7096359,4.79392
8.912509381,4.994
9.120108394,5.19405
9.332543008,5.39409
9.54992586,5.59411
9.77237221,5.7941
10,5.99408
10.23292992,6.19404
10.47128548,6.39397
10.71519305,6.59389
10.96478196,6.79379
11.22018454,6.99366
11.48153621,7.19352
11.74897555,7.39335
12.02264435,7.59317
12.30268771,7.79296
12.58925412,7.99273
12.88249552,8.19247
13.18256739,8.3922
13.48962883,8.5919
13.80384265,8.79157
14.12537545,8.99122
14.45439771,9.19085
14.79108388,9.39045
