"FREQ","U1:A(OP)"
1,15.567
1.258925412,15.567
1.584893192,15.567
1.995262315,15.567
2.511886432,15.567
3.16227766,15.567
3.981071706,15.567
5.011872336,15.567
6.309573445,15.567
7.943282347,15.567
10,15.567
12.58925412,15.567
15.84893192,15.567
19.95262315,15.567
25.11886432,15.567
31.6227766,15.567
39.81071706,15.567
50.11872336,15.567
63.09573445,15.567
79.43282347,15.567
100,15.567
125.8925412,15.567
158.4893192,15.567
199.5262315,15.567
251.1886432,15.567
316.227766,15.567
398.1071706,15.567
501.1872336,15.567
630.9573445,15.567
794.3282347,15.567
1000,15.567
1258.925412,15.567
1584.893192,15.567
1995.262315,15.567
2511.886432,15.567
3162.27766,15.567
3981.071706,15.567
5011.872336,15.567
6309.573445,15.567
7943.282347,15.567
10000,15.567
12589.25412,15.567
15848.93192,15.567
19952.62315,15.567
25118.86432,15.567
31622.7766,15.567
39810.71706,15.567
50118.72336,15.567
63095.73445,15.567
79432.82347,15.567
100000,15.567
125892.5412,15.5669
158489.3192,15.5669
199526.2315,15.5668
251188.6432,15.5668
316227.766,15.5666
398107.1706,15.5664
501187.2336,15.5661
630957.3445,15.5655
794328.2347,15.5647
1000000,15.5633
1258925.412,15.5612
1584893.192,15.5577
1995262.315,15.5524
2511886.432,15.5438
3162277.66,15.5303
3981071.706,15.509
5011872.336,15.4755
6309573.445,15.4228
7943282.347,15.3406
10000000,15.2135
12589254.12,15.0194
15848931.92,14.7286
19952623.15,14.3043
25118864.32,13.7069
31622776.6,12.9022
39810717.06,11.8717
50118723.36,10.6193
63095734.45,9.16996
79432823.47,7.56168
100000000,5.83509
125892541.2,4.02592
158489319.2,2.16083
199526231.5,0.254849
251188643.2,-1.69154
316227766,-3.69585
398107170.6,-5.79583
501187233.6,-8.04749
630957344.5,-10.5184
794328234.7,-13.2779
1000000000,-16.3875
1258925412,-19.8922
1584893192,-23.8171
1995262315,-28.1647
2511886432,-32.9097
3162277660,-37.9806
3981071706,-43.2183
5011872336,-48.297
6309573445,-52.6374
7943282347,-55.4635
1e+010,-56.2837
