"FREQ","U1:A(OP)"
1,82.398
1.258925412,82.398
1.584893192,82.398
1.995262315,82.398
2.511886432,82.398
3.16227766,82.398
3.981071706,82.398
5.011872336,82.398
6.309573445,82.398
7.943282347,82.398
10,82.398
12.58925412,82.398
15.84893192,82.398
19.95262315,82.398
25.11886432,82.398
31.6227766,82.3979
39.81071706,82.3979
50.11872336,82.3979
63.09573445,82.3979
79.43282347,82.3979
100,82.3978
125.8925412,82.3978
158.4893192,82.3976
199.5262315,82.3974
251.1886432,82.3971
316.227766,82.3967
398.1071706,82.3959
501.1872336,82.3947
630.9573445,82.3928
794.3282347,82.3898
1000,82.385
1258.925412,82.3774
1584.893192,82.3655
1995.262315,82.3466
2511.886432,82.3168
3162.27766,82.2701
3981.071706,82.197
5011.872336,82.0836
6309.573445,81.9098
7943.282347,81.6478
10000,81.2625
12589.25412,80.7142
15848.93192,79.9661
19952.62315,78.9943
25118.86432,77.7959
31622.7766,76.3902
39810.71706,74.8119
50118.72336,73.1007
63095.73445,71.2933
79432.82347,69.4194
100000,67.5009
125892.5412,65.5531
158489.3192,63.5864
199526.2315,61.6075
251188.6432,59.6209
316227.766,57.6294
398107.1706,55.6347
501187.2336,53.6381
630957.3445,51.6402
794328.2347,49.6416
1000000,47.6424
1258925.412,45.6429
1584893.192,43.6433
1995262.315,41.6435
2511886.432,39.6436
3162277.66,37.6437
3981071.706,35.6437
5011872.336,33.6437
6309573.445,31.6436
7943282.347,29.6435
10000000,27.6433
